================================================================================
PLATFORM SURVEILLANCE SYSTEM - LOG FILE
================================================================================
Start Time: 2026-04-05 01:51:45.886175
Log Folder: MarvellousLogs
Monitoring Interval: 1 minute(s)
================================================================================


********************************************************************************
MONITORING CYCLE #1
Cycle Start Time: 2026-04-05 01:51:45.887177
********************************************************************************


================================================================================
[FUNCTION: thread_monitoring] - Execution Time: 2026-04-05 01:51:45.890179
================================================================================
Thread Monitoring Report
Process Name                   PID        Thread Count   
-------------------------------------------------------
System Idle Process            0          8              
System                         4          270            
                               72         0              
csrss.exe                      92         14             
Registry                       132        4              
smss.exe                       460        2              
csrss.exe                      768        11             
brave.exe                      824        20             
services.exe                   836        7              
LsaIso.exe                     844        1              
lsass.exe                      860        9              
winlogon.exe                   932        3              
wininit.exe                    1020       1              
svchost.exe                    1032       10             
fontdrvhost.exe                1068       5              
WUDFHost.exe                   1108       7              
fontdrvhost.exe                1156       5              
brave.exe                      1172       11             
svchost.exe                    1224       12             
brave.exe                      1236       21             
svchost.exe                    1272       3              
brave.exe                      1404       20             
brave.exe                      1408       19             
SecurityHealthService.exe      1432       8              
svchost.exe                    1444       3              
svchost.exe                    1452       2              
svchost.exe                    1468       2              
svchost.exe                    1496       9              
StartMenuExperienceHost.exe    1540       9              
svchost.exe                    1572       4              
svchost.exe                    1580       1              
dwm.exe                        1620       14             
svchost.exe                    1736       1              
IntelCpHDCPSvc.exe             1800       3              
svchost.exe                    1824       11             
svchost.exe                    1832       1              
svchost.exe                    1864       8              
svchost.exe                    1896       5              
msedgewebview2.exe             1952       9              
brave.exe                      2072       20             
IntelCpHeciSvc.exe             2076       3              
svchost.exe                    2096       3              
svchost.exe                    2104       7              
svchost.exe                    2116       1              
brave.exe                      2152       19             
svchost.exe                    2184       2              
svchost.exe                    2220       10             
brave.exe                      2224       18             
brave.exe                      2280       19             
svchost.exe                    2288       6              
pet.exe                        2360       9              
Code.exe                       2404       8              
svchost.exe                    2412       3              
svchost.exe                    2420       3              
svchost.exe                    2440       2              
conhost.exe                    2448       2              
svchost.exe                    2452       10             
svchost.exe                    2460       4              
svchost.exe                    2504       1              
SebWindowsServiceWCF.exe       2508       4              
svchost.exe                    2572       5              
svchost.exe                    2588       11             
svchost.exe                    2640       2              
Code.exe                       2684       13             
svchost.exe                    2688       4              
svchost.exe                    2708       7              
vmms.exe                       2784       12             
svchost.exe                    2868       1              
NVDisplay.Container.exe        2908       33             
svchost.exe                    2956       15             
svchost.exe                    2980       4              
svchost.exe                    2992       5              
MemCompression                 3112       54             
Code.exe                       3136       30             
igfxCUIService.exe             3180       2              
dasHost.exe                    3244       2              
svchost.exe                    3284       5              
svchost.exe                    3292       2              
svchost.exe                    3404       5              
brave.exe                      3440       19             
svchost.exe                    3464       8              
svchost.exe                    3552       1              
svchost.exe                    3592       10             
brave.exe                      3608       7              
svchost.exe                    3640       6              
conhost.exe                    3668       5              
svchost.exe                    3708       13             
vmcompute.exe                  3824       3              
EpicWebHelper.exe              3872       16             
UserOOBEBroker.exe             3884       2              
svchost.exe                    4032       2              
BraveCrashHandler64.exe        4084       3              
Code.exe                       4112       58             
NVDisplay.Container.exe        4156       26             
RuntimeBroker.exe              4164       11             
svchost.exe                    4508       14             
svchost.exe                    4644       3              
svchost.exe                    4744       10             
conhost.exe                    4792       5              
svchost.exe                    4808       10             
BraveCrashHandler.exe          4828       3              
RAVBg64.exe                    4856       4              
dllhost.exe                    4908       5              
RtkAudioService64.exe          4928       2              
svchost.exe                    5024       4              
svchost.exe                    5032       9              
svchost.exe                    5136       3              
wlanext.exe                    5200       1              
spoolsv.exe                    5208       7              
conhost.exe                    5216       2              
brave.exe                      5228       19             
svchost.exe                    5280       4              
svchost.exe                    5360       6              
svchost.exe                    5440       8              
svchost.exe                    5448       14             
OfficeClickToRun.exe           5456       22             
svchost.exe                    5484       18             
ibmpmsvc.exe                   5532       9              
sihost.exe                     5592       9              
svchost.exe                    5648       9              
OneApp.IGCC.WinService.exe     5660       8              
svchost.exe                    5684       2              
jhi_service.exe                5696       2              
svchost.exe                    5704       6              
svchost.exe                    5728       8              
nvWmi64.exe                    5892       1              
EasyResume.exe                 5920       5              
svchost.exe                    5940       4              
svchost.exe                    5964       4              
SafeExamBrowser.Service.exe    5984       4              
svchost.exe                    6000       8              
msedgewebview2.exe             6028       12             
mysqld.exe                     6052       3              
brave.exe                      6100       46             
mongod.exe                     6112       34             
SynTPEnh.exe                   6128       13             
svchost.exe                    6156       4              
SynTPEnhService.exe            6180       5              
audiodg.exe                    6188       3              
svchost.exe                    6196       4              
svchost.exe                    6232       2              
UltraViewer_Service.exe        6248       10             
svchost.exe                    6272       3              
PresentationFontCache.exe      6280       4              
brave.exe                      6360       19             
tnslsnr.exe                    6424       3              
WMIRegistrationService.exe     6436       2              
oravssw.exe                    6448       2              
RuntimeBroker.exe              6476       2              
oracle.exe                     6488       92             
svchost.exe                    6516       7              
omtsreco.exe                   6536       4              
wslservice.exe                 6552       10             
taskhostw.exe                  6588       7              
svchost.exe                    6744       5              
Code.exe                       6864       13             
LockApp.exe                    6888       19             
svchost.exe                    7108       12             
mysqld.exe                     7392       40             
conhost.exe                    7416       4              
brave.exe                      7424       21             
PowerMgr.exe                   7444       10             
conhost.exe                    7456       2              
Code.exe                       7516       28             
taskhostw.exe                  7520       8              
conhost.exe                    7540       2              
igfxEM.exe                     7604       3              
SystemSettingsBroker.exe       7716       17             
EpicOnlineServicesUserHelper.exe 7724       11             
svchost.exe                    7736       5              
conhost.exe                    7784       2              
brave.exe                      7816       19             
explorer.exe                   7876       65             
brave.exe                      7896       21             
brave.exe                      7912       21             
SearchIndexer.exe              8020       13             
SearchApp.exe                  8040       11             
svchost.exe                    8596       1              
msedgewebview2.exe             8628       55             
nvWmi64.exe                    8676       5              
svchost.exe                    8736       3              
AggregatorHost.exe             8784       4              
svchost.exe                    8928       8              
svchost.exe                    8992       1              
conhost.exe                    9068       7              
SDXHelper.exe                  9148       16             
brave.exe                      9256       19             
TabTip.exe                     9332       8              
brave.exe                      9344       19             
SynTPHelper.exe                9384       1              
svchost.exe                    9420       7              
brave.exe                      9452       19             
svchost.exe                    9592       2              
brave.exe                      9628       19             
dllhost.exe                    9856       4              
svchost.exe                    9940       10             
python.exe                     10244      6              
MoUsoCoreWorker.exe            10260      8              
RuntimeBroker.exe              10276      3              
svchost.exe                    10828      3              
ctfmon.exe                     10844      11             
SecurityHealthSystray.exe      10868      1              
RuntimeBroker.exe              10876      14             
svchost.exe                    11076      7              
TextInputHost.exe              11156      11             
powershell.exe                 11164      11             
svchost.exe                    11360      5              
MpDefenderCoreService.exe      11468      12             
svchost.exe                    11816      4              
python.exe                     11952      4              
svchost.exe                    12004      3              
Code.exe                       12132      19             
CodeSetup-stable-e7fb5e96c0730b9deb70b33781f98e2f35975036.exe 12364      1              
powershell.exe                 12368      11             
Code.exe                       12444      28             
NisSrv.exe                     12468      10             
conhost.exe                    12604      2              
RuntimeBroker.exe              12624      2              
PhoneExperienceHost.exe        12720      18             
msedgewebview2.exe             12800      12             
igfxext.exe                    12932      2              
msedgewebview2.exe             12992      23             
msedgewebview2.exe             13020      22             
SearchApp.exe                  13176      55             
brave.exe                      13232      19             
RAVCpl64.exe                   13252      6              
DolbyDAX2API.exe               13280      8              
svchost.exe                    13404      2              
Code.exe                       13564      8              
msedgewebview2.exe             13608      24             
brave.exe                      13740      20             
